key,default,zh-Hans
Xiamen,Xiamen,厦门
Beijing,Beijing,北京
Harbin,Harbin,哈尔滨
Shenyang,Shenyang,沈阳
Hohhot,Hohhot,呼和浩特
Tianjin,Tianjin,天津
Shijiazhuang,Shijiazhuang,石家庄
Taiyuan,Taiyuan,太原
Jinan,Jinan,济南
Qingdao,Qingdao,青岛
Lanzhou,Lanzhou,兰州
Xian,Xi’an,西安
Zhengzhou,Zhengzhou,郑州
Nanjing,Nanjing,南京
Hefei,Hefei,合肥
Shanghai,Shanghai,上海
Hangzhou,Hangzhou,杭州
Ningbo,Ningbo,宁波
Jiaxing,Jiaxing,嘉兴
Taizhou,Taizhou,台州
Chengdu,Chengdu,成都
Chongqing,Chongqing,重庆
Dali,Dali,大理
Kunming,Kunming,昆明
Guiyang,Guiyang,贵阳
Changsha,Changsha,长沙
Wuhan,Wuhan,武汉
Nanchang,Nanchang,南昌
Fuzhou,Fuzhou,福州
Foshan,Foshan,佛山
Guangzhou,Guangzhou,广州
Shenzhen,Shenzhen,深圳
Zhuhai,Zhuhai,珠海
Shantou,Shantou,汕头
